Firm*,First Name*,Last Name*,Email Address*,Preferred Language*,Default Module,User ID*,SecureZone ID,OSS User ID,CR2 User ID,SSO User ID,Role*,Firm Level Access*,RR Code Assignment,Module Overrides,Features
ACKER,Bulk,TestingUser1023,bulktestinguser1023@gmail.com,EN,firm_client_accounts,TestFum86635.QA86635.uat,SZ1,,TestFum86635.QA86635,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1028,bulktestinguser1028@gmail.com,EN,firm_client_accounts,TestFum41484.QA41484.uat,SZ1,,TestFum41484.QA41484,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1033,bulktestinguser1033@gmail.com,EN,firm_client_accounts,TestFum78042.QA78042.uat,SZ1,,TestFum78042.QA78042,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1038,bulktestinguser1038@gmail.com,EN,firm_client_accounts,TestFum52141.QA52141.uat,SZ1,,TestFum52141.QA52141,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1043,bulktestinguser1043@gmail.com,EN,firm_client_accounts,TestFum40811.QA40811.uat,SZ1,,TestFum40811.QA40811,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1048,bulktestinguser1048@gmail.com,EN,firm_client_accounts,TestFum89055.QA89055.uat,SZ1,,TestFum89055.QA89055,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,candi,acker,candi.acker1@acker.ca,EN,firm_client_accounts,candi.acker1.uat,NBINUSER,null,,,AdminAllButNotTrade_V1.17,TRUE,QNAA-QN99,"paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Candi,Acker,candi.acker2@acker.ca,EN,firm_client_accounts,candi.acker2.uat,SOC,COMPASSX,TestFum50268.QA50268,,AdminAllButNotTrade_V1.17,FALSE,QNAB-QNAB,"firm_client_accounts,orders_module,questionnaire_applications,form_applications,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Candi,Acker,candi.so@acker.com,FR,firm_client_accounts,candi.acker5.uat,,,test.ackee,,ManageServicingAndTrades,FALSE,,"paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Candi,Acker,candi.so@nbc.ca,EN,firm_client_accounts,candi.acker.uat,,null,candi.acker,,ManageAll_V1.17,FALSE,"QNAB-QNAB, QNAC-QNAC","gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACKER,Candi,Acker3,candi.acker3@acker.ca,EN,firm_client_accounts,candi.acker3.uat,SOC2,null,testing4.uat,,ManageAll_V1.17,TRUE,QNAA-QN99,"firm_client_accounts,questionnaire_applications,form_applications,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACKER,Candi X,Acker YYZ,candi.acker4@acker.com,EN,firm_client_accounts,candi.acker4.uat,,,testing4.uat1,,GlobalAdmin,TRUE,QNAA-QN99,,"mf_product,equity_product,feature_conf"
ACKER,estherIB,newton,persis.newton@nbc.ca,EN,firm_client_accounts,estherib.newton.uat,NBINIA,ProxyH,,,ManageAll_V1.17,FALSE,,,"mf_product,equity_product,options_product"
ACKER,HATest,HA,harsha.adusumilli@nbc.ca,EN,users_module,hatest.ha.uat,,,,,ManageFirmAndUser_V1.17,FALSE,,"orders_module,questionnaire_applications,soma_servicing,tools_menu,paper_upload_menu,trade_allocations_menu,system_event_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,acumen,oktatest,acumen.oktatest@nbc.ca,EN,firm_client_accounts,acumen.oktatest.uat,NBINIA,ProxyH,,,AdminAll_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_upload,soma_intervention,form_applications,gic_management_menu,mf_orders_upload",approve_option_applications
ACUME,acumentUAT,Neha,neha.ashishkumar.dadarwala@nbc.ca,EN,firm_client_accounts,acumentuat.neha.uat,WAHABMA,,,,ManageFirmAndUser_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,ACUMENUAT,Maisha,maisha.wahab@nbc.ca,EN,firm_client_accounts,acumenuat.maisha.uat,WAHABMA,,Acumen.Advisor,,ManageFirmAndUser_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Alex,ACUME,alexander.graham@nbc.ca,EN,firm_client_accounts,alex.acume.uat,,,,,ManageAllButNotTrade_v1.16,TRUE,"AJAA-AJ99, CAAA-CA99","statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,atesh,test,atesh.test@acumen.ca,EN,firm_client_accounts,atesh.test1.uat,,null,fumsec.steward,,ViewOnlyConfidentialProfile_V1.17,FALSE,"AJAA-AJ99, CAAA-CA99","compass_r2,firm_client_accounts,orders_module,questionnaire_applications,soma_servicing,form_applications,tools_menu,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,atesh,test,test.test@nbc.ca,EN,firm_client_accounts,atesh.test,,ProxyH,,,ViewOnlyConfidentialProfile_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99",,
ACUME,Bulk,Poulin-Brière,mpoulinbriere@nymbus.ca,FR,firm_client_accounts,FUM2024527165645.TEST.uat,"NBINIA,SZID1",PROXYH,FUM2024527165645.TEST,,AdminOrders_V1.17,FALSE,CAAA-CA99,"orders_module,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Bulk,TestingUser1001,bulktestinguser1001@gmail.com,EN,firm_client_accounts,TestFum96099.QA96099.uat,SZ1,,TestFum96099.QA96099,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1006,bulktestinguser1006@gmail.com,EN,firm_client_accounts,TestFum52764.QA52764.uat,SZ1,,TestFum52764.QA52764,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1011,bulktestinguser1011@gmail.com,EN,firm_client_accounts,TestFum36955.QA36955.uat,SZ1,,TestFum36955.QA36955,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1016,bulktestinguser1016@gmail.com,EN,firm_client_accounts,TestFum50419.QA50419.uat,SZ1,,TestFum50419.QA50419,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1021,bulktestinguser1021@gmail.com,EN,firm_client_accounts,TestFum58496.QA58496.uat,SZ1,,TestFum58496.QA58496,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1026,bulktestinguser1026@gmail.com,EN,firm_client_accounts,TestFum39314.QA39314.uat,SZ1,,TestFum39314.QA39314,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1031,bulktestinguser1031@gmail.com,EN,firm_client_accounts,TestFum47027.QA47027.uat,SZ1,,TestFum47027.QA47027,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1036,bulktestinguser1036@gmail.com,EN,firm_client_accounts,TestFum74974.QA74974.uat,SZ1,,TestFum74974.QA74974,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1041,bulktestinguser1041@gmail.com,EN,firm_client_accounts,TestFum47694.QA47694.uat,SZ1,,TestFum47694.QA47694,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,TestingUser1046,bulktestinguser1046@gmail.com,EN,firm_client_accounts,TestFum26385.QA26385.uat,SZ1,,TestFum26385.QA26385,,ManageFirmAndUser_V1.17,FALSE,CAAA-CAAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Bulk,Upload10,bulk.upload10@gmail.com,FR,firm_client_accounts,FUM202452718220.TEST.uat,"NBINIA,SZID1",,FUM202452718220.TEST,,AdminOrders_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Bulk,Upload12,bulk.upload12@gmail.com,FR,firm_client_accounts,FUM2024527184116.TEST.uat,"NBINIA,SZID1",,FUM2024527184116.TEST,,AdminOrders_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Bulk,Upload4,bulk.upload4@gmail.com,FR,firm_client_accounts,sso4.uat,NBINIA,PROXYH,,,AdminOrders_V1.17,FALSE,CAAA-CA99,"orders_module,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Bulk,Upload8,bulk.upload8@gmail.com,FR,firm_client_accounts,FUM2024527174731.TEST.uat,"NBINIA,SZID1",,FUM2024527174731.TEST,,AdminOrders_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Bulk,User16,bulk.user16@gmail.com,EN,firm_client_accounts,sso16.uat,"SZ2,SZ2,SZ3",oss16,FUM2024530151021.TEST,,AdminOrders_V1.17,FALSE,"AJ99-AJ99, AJAA-AJ98","compass_r2,orders_module,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Bulk,User18,kamali.arunamanivannan@nbc.ca,EN,firm_client_accounts,sso18.uat,"SZ2,SZ2,SZ3",oss16,,,ManageFirmAndUser_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99",,
ACUME,Candi,Acume,candi.acume3@acumen.ca,EN,compass_r2,candi.acume2.uat,,null,,,AdminAll_V1.17,FALSE,"AJAA-AJAA, CAAA-CA99","firm_client_accounts,paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Candi,Acume1,candi.acume1@acumen.ca,EN,firm_client_accounts,candi.acume1,,ProxyH,test.acume,,ManageTransactions_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACUME,Eileen,Treves,etreves7@opera.com,EN,firm_client_accounts,eileen.treves3.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eileen,Treves,etreves7@opera.com,EN,firm_client_accounts,eileen.treves1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eileen,Treves,etreves7@opera.com,EN,firm_client_accounts,eileen.treves2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eileen,Treves,etreves7@opera.com,EN,firm_client_accounts,eileen.treves4.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eileen,Treves,etreves7@opera.com,EN,firm_client_accounts,eileen.treves.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Élodie,Duguay Lemoine,e.duguay-lemoine@rgpinv10.com,FR,firm_client_accounts,elodie.duguaylemoine2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Élodie,Duguay Lemoine,e.duguay-lemoine@rgpinv1.com,FR,firm_client_accounts,elodie.duguaylemoine1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Élodie,Duguay Lemoine,e.duguay-lemoine@rgpinv.com,FR,firm_client_accounts,elodie.duguaylemoine.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Élodie,James909090,elodie.jmes@test.com,EN,firm_client_accounts,elodie.james909090.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eugenius,Filmer,efilmer4@sitemeter.com,EN,firm_client_accounts,eugenius.filmer4.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eugenius,Filmer,efilmer4@sitemeter.com,EN,firm_client_accounts,eugenius.filmer.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eugenius,Filmer,efilmer4@sitemeter.com,EN,firm_client_accounts,eugenius.filmer1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eugenius,Filmer,efilmer4@sitemeter.com,EN,firm_client_accounts,eugenius.filmer2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Eugenius,Filmer,efilmer4@sitemeter.com,EN,firm_client_accounts,eugenius.filmer3.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,FN2,LN2,harsha.adusumilli@nbc.ca,EN,firm_client_accounts,fn2.ln2.uat,adha0001,ProxyH,,,ViewOnlyConfidentialProfile_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99",,
ACUME,GoodDataUAT,FUMGoodData1,gooddatauat.fumgooddata1@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata13.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData1,gooddatauat.fumgooddata1@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata12.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData1,gooddatauat.fumgooddata1@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData1,gooddatauat.fumgooddata1@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata11.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData2,gooddatauat.fumgooddata2@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata23.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData2,gooddatauat.fumgooddata2@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata22.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData2,gooddatauat.fumgooddata2@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,GoodDataUAT,FUMGoodData2,gooddatauat.fumgooddata2@test.com,EN,firm_client_accounts,gooddatauat.fumgooddata21.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,haseeb,foster,haseeb.foster@test.com,EN,firm_client_accounts,haseeb.foster3.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,haseeb,foster,haseeb.foster@test.com,EN,firm_client_accounts,haseeb.foster1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,haseeb,foster,haseeb.foster@test.com,EN,firm_client_accounts,haseeb.foster2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,haseeb,foster,haseeb.foster@test.com,EN,firm_client_accounts,haseeb.foster.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,James_angus,Champolion,tin.test@gmail.com,FR,firm_client_accounts,jamesangus.champolion.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,(Jamestim),Champolion,tix.test@gmail.com,FR,firm_client_accounts,jamestim.champolion.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Josée Anne,Girard,jagirard@harris-bolduc1.com,FR,firm_client_accounts,joseeanne.girard1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Josée Anne,Girard,jagirard@harris-bolduc.com,FR,firm_client_accounts,joseeanne.girard.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Josée Anne,Girard,jagirard@harris-bolduc10.com,FR,firm_client_accounts,joseeanne.girard2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,jule,may,jule.may@test.com,FR,firm_client_accounts,jule.may.uat,NBINIA,,jule.may,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Léonie,Cunin,leonie.cunin.icpmc_prefo@noemail10.com,FR,firm_client_accounts,leonie.cunin2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Léonie,Cunin,leonie.cunin.icpmc_prefo@noemail.com,FR,firm_client_accounts,leonie.cunin.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Léonie,Cunin,leonie.cunin.icpmc_prefo@noemail1.com,FR,firm_client_accounts,leonie.cunin1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Lonna,Bedo,lbedo3@mashable.com,EN,firm_client_accounts,lonna.bedo3.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Lonna,Bedo,lbedo3@mashable.com,EN,firm_client_accounts,lonna.bedo.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Lonna,Bedo,lbedo3@mashable.com,EN,firm_client_accounts,lonna.bedo1.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Lonna,Bedo,lbedo3@mashable.com,EN,firm_client_accounts,lonna.bedo2.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,Lonna,Bedo,lbedo3@mashable.com,EN,firm_client_accounts,lonna.bedo4.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACUME,M. André,Champolion,tiz.test@gmail.com,FR,firm_client_accounts,m.andre.champolion.uat,NBINIA,,,,ManageServiceRequests_V1.17,TRUE,"AJAA-AJ99, CAAA-CA99","orders_module,soma_servicing,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
